Track Name,Artist,Artist URI,Artist Popularity,Artist Genres,Track Duration(ms),Release Date,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Type,Track ID,Uri,Track_href,Analysis_url,Duration_ms,Time_signature
Kill Bill,SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,88,"pop, r&b, rap",153946,2022-12-08,92,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,1Qrg8KqiBpW07V7PNxwwwL,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp,86,rap,221520,2022-12-02,92,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,audio_features,2dHHgzDwk4BJdRwy9uXhTO,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/tracks/2dHHgzDwk4BJdRwy9uXhTO,https://api.spotify.com/v1/audio-analysis/2dHHgzDwk4BJdRwy9uXhTO,221520,4
Seven (feat. Latto) (Explicit Ver.),Jung Kook,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,89,k-pop,184400,2023-07-14,91,0.802,0.832,11,-4.107,1,0.0434,0.311,0,0.0815,0.89,124.997,audio_features,7x9aauaA9cu6tyfpHnqDLo,spotify:track:7x9aauaA9cu6tyfpHnqDLo,https://api.spotify.com/v1/tracks/7x9aauaA9cu6tyfpHnqDLo,https://api.spotify.com/v1/audio-analysis/7x9aauaA9cu6tyfpHnqDLo,185427,4
Cruel Summer,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02,100,pop,178426,2019-08-23,98,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
Die For You - Remix,The Weeknd,spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ,93,"canadian contemporary r&b, canadian pop, pop",232857,2023-02-24,82,0.531,0.525,1,-6.5,0,0.0671,0.232,0,0.441,0.502,66.9,audio_features,7oDd86yk8itslrA9HRP2ki,spotify:track:7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/audio-analysis/7oDd86yk8itslrA9HRP2ki,232857,4
vampire,Olivia Rodrigo,spotify:artist:1McMsnEElThX1knmY4oliG,87,pop,219724,2023-06-30,62,0.511,0.532,5,-5.745,1,0.056,0.169,0,0.311,0.322,137.827,audio_features,3k79jB4aGmMDUQzEwa46Rz,spotify:track:3k79jB4aGmMDUQzEwa46Rz,https://api.spotify.com/v1/tracks/3k79jB4aGmMDUQzEwa46Rz,https://api.spotify.com/v1/audio-analysis/3k79jB4aGmMDUQzEwa46Rz,219724,4
Boy's a liar Pt. 2,PinkPantheress,spotify:artist:78rUTD7y6Cy67W1RVzYs7t,76,bedroom pop,131013,2023-02-03,85,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,audio_features,6AQbmUe0Qwf5PZnt4HmTXv,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv,https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv,131013,4
greedy,Tate McRae,spotify:artist:45dkTj5sMRSjrmBSBeiHym,85,"alt z, pop",131872,2023-09-15,99,0.75,0.733,6,-3.18,0,0.0319,0.256,0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,spotify:artist:716NhGYqD1jl2wI1Qkgq36,83,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino",214945,2023-01-11,86,0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,audio_features,4nrPB8O7Y7wsOCJdgXkthe,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/tracks/4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/audio-analysis/4nrPB8O7Y7wsOCJdgXkthe,218289,4
Ella Baila Sola,Eslabon Armado,spotify:artist:0XeEobZplHxzM9QzFQWLiR,78,"corrido, corridos tumbados, sad sierreno, sierreno",165671,2023-03-16,87,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,audio_features,3dnP0JxCgygwQH9Gm7q7nb,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/tracks/3dnP0JxCgygwQH9Gm7q7nb,https://api.spotify.com/v1/audio-analysis/3dnP0JxCgygwQH9Gm7q7nb,165671,3
